finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
PINKY,-0.863,0.349,0.222,Right,-0.772,-0.34,-0.513,0.16,B
RING,-0.942,0.113,-0.149,Towards you,0.15,-0.708,0.257,0.64,B
MIDDLE,-0.969,-0.096,0.064,Left,0.653,-0.37,0.582,0.314,B
THUMB,0.836,-0.574,0.182,Towards you,0.675,-0.169,-0.642,0.323,B
INDEX,-0.882,-0.129,0.23,Left,0.434,-0.549,0.244,0.672,B
PALM,1.01,0.182,0.131,Towards you,-0.687,0.206,0.616,0.326,B
PINKY,-0.862,0.365,0.203,Away from you,-0.778,-0.328,-0.518,0.141,B
RING,-0.945,0.115,-0.165,Towards you,0.14,-0.71,0.247,0.644,B
MIDDLE,-0.965,-0.106,0.072,Left,0.652,-0.373,0.578,0.32,B
THUMB,0.832,-0.586,0.169,Towards you,0.676,-0.173,-0.642,0.317,B
INDEX,-0.864,-0.139,0.261,Left,0.427,-0.55,0.235,0.678,B
PALM,1.014,0.189,0.14,Towards you,-0.686,0.206,0.614,0.332,B
PINKY,-0.858,0.356,0.212,Away from you,-0.781,-0.314,-0.526,0.122,B
RING,-0.938,0.106,-0.128,Towards you,0.131,-0.714,0.234,0.647,B
MIDDLE,-0.965,-0.111,0.09,Left,0.65,-0.379,0.573,0.324,B
THUMB,0.844,-0.558,0.161,Towards you,0.677,-0.179,-0.642,0.312,B
INDEX,-0.893,-0.133,0.209,Left,0.421,-0.554,0.23,0.68,B
PALM,1.02,0.188,0.071,Left,-0.68,0.214,0.615,0.338,B
PINKY,-0.853,0.356,0.238,Away from you,-0.783,-0.303,-0.533,0.108,B
RING,-0.942,0.103,-0.112,Towards you,0.126,-0.716,0.226,0.648,B
MIDDLE,-0.959,-0.098,0.1,Left,0.65,-0.381,0.572,0.326,B
THUMB,0.838,-0.585,0.175,Towards you,0.68,-0.186,-0.64,0.305,B
INDEX,-0.912,-0.136,0.192,Left,0.417,-0.557,0.226,0.682,B
PALM,1.015,0.185,0.086,Left,-0.676,0.221,0.614,0.344,B
PINKY,-0.848,0.353,0.245,Away from you,-0.784,-0.291,-0.54,0.091,B
RING,-0.94,0.102,-0.119,Towards you,0.116,-0.721,0.216,0.649,B
MIDDLE,-0.973,-0.119,0.062,Left,0.646,-0.386,0.57,0.329,B
THUMB,0.821,-0.61,0.188,Towards you,0.683,-0.194,-0.637,0.3,B
INDEX,-0.895,-0.124,0.199,Left,0.409,-0.561,0.223,0.684,B
PALM,1.015,0.192,0.095,Left,-0.672,0.227,0.613,0.349,B
PINKY,-0.855,0.354,0.228,Away from you,-0.785,-0.28,-0.548,0.074,B
RING,-0.944,0.098,-0.154,Towards you,0.108,-0.725,0.207,0.648,B
MIDDLE,-0.98,-0.102,0.045,Left,0.643,-0.389,0.57,0.331,B
THUMB,0.821,-0.584,0.19,Towards you,0.687,-0.202,-0.634,0.294,B
INDEX,-0.89,-0.128,0.208,Left,0.405,-0.562,0.219,0.687,B
PALM,1.011,0.206,0.124,Left,-0.668,0.233,0.61,0.357,B
PINKY,-0.873,0.355,0.199,Away from you,-0.786,-0.267,-0.554,0.058,B
RING,-0.946,0.093,-0.157,Towards you,0.101,-0.728,0.198,0.648,B
MIDDLE,-0.97,-0.11,0.062,Left,0.641,-0.393,0.568,0.333,B
THUMB,0.823,-0.587,0.18,Towards you,0.688,-0.208,-0.632,0.289,B
INDEX,-0.887,-0.13,0.223,Left,0.399,-0.566,0.213,0.69,B
PALM,1.014,0.181,0.095,Left,-0.664,0.237,0.61,0.362,B
PINKY,-0.865,0.333,0.221,Away from you,-0.785,-0.254,-0.563,0.042,B
RING,-0.938,0.093,-0.121,Towards you,0.094,-0.732,0.186,0.648,B
