finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
MIDDLE,-0.822,0.542,-0.049,Left,0.239,-0.429,0.584,0.646,B
THUMB,-0.788,-0.074,0.659,Left,0.689,-0.3,0.296,0.589,B
INDEX,-0.729,0.515,0.215,Left,0.291,-0.33,0.492,0.751,B
PALM,-0.175,-0.69,-0.733,Down,-0.322,0.775,-0.532,0.115,B
PINKY,-0.555,0.692,-0.374,Towards you,0.347,0.768,-0.259,-0.473,B
RING,-0.691,0.597,-0.347,Right,-0.596,-0.583,-0.549,0.06,B
MIDDLE,-0.845,0.572,-0.066,Left,0.24,-0.44,0.579,0.643,B
THUMB,-0.795,-0.091,0.668,Left,0.686,-0.307,0.301,0.586,B
INDEX,-0.73,0.461,0.182,Left,0.294,-0.337,0.492,0.747,B
PALM,-0.178,-0.69,-0.742,Down,-0.322,0.767,-0.543,0.115,B
PINKY,-0.511,0.724,-0.43,Towards you,0.346,0.775,-0.261,-0.461,B
RING,-0.677,0.608,-0.339,Right,-0.586,-0.593,-0.549,0.052,B
MIDDLE,-0.805,0.545,-0.093,Left,0.229,-0.437,0.593,0.636,B
THUMB,-0.788,-0.05,0.649,Left,0.687,-0.288,0.309,0.591,B
INDEX,-0.732,0.496,0.189,Left,0.289,-0.329,0.509,0.741,B
PALM,-0.201,-0.713,-0.708,Down,-0.333,0.755,-0.552,0.119,B
PINKY,-0.535,0.694,-0.442,Towards you,0.348,0.78,-0.253,-0.454,B
RING,-0.675,0.61,-0.328,Right,-0.584,-0.59,-0.555,0.051,B
MIDDLE,-0.788,0.546,-0.109,Left,0.23,-0.441,0.591,0.635,B
THUMB,-0.779,-0.045,0.657,Left,0.69,-0.29,0.31,0.586,B
INDEX,-0.749,0.503,0.178,Left,0.293,-0.33,0.508,0.739,B
PALM,-0.192,-0.696,-0.736,Down,-0.329,0.75,-0.561,0.122,B
PINKY,-0.534,0.727,-0.429,Towards you,0.355,0.783,-0.244,-0.448,B
RING,-0.702,0.583,-0.325,Right,-0.584,-0.585,-0.561,0.042,B
MIDDLE,-0.804,0.507,-0.068,Left,0.221,-0.446,0.588,0.637,B
THUMB,-0.784,-0.035,0.638,Left,0.688,-0.29,0.309,0.589,B
INDEX,-0.772,0.552,0.176,Left,0.29,-0.333,0.508,0.739,B
PALM,-0.214,-0.717,-0.744,Down,-0.328,0.747,-0.565,0.121,B
PINKY,-0.518,0.689,-0.427,Towards you,0.363,0.785,-0.231,-0.446,B
RING,-0.682,0.634,-0.382,Right,-0.586,-0.579,-0.565,0.041,B
MIDDLE,-0.843,0.595,-0.079,Left,0.222,-0.451,0.584,0.637,B
THUMB,-0.783,-0.021,0.635,Left,0.688,-0.292,0.309,0.588,B
INDEX,-0.722,0.489,0.193,Left,0.287,-0.335,0.508,0.74,B
PALM,-0.18,-0.681,-0.7,Down,-0.328,0.746,-0.567,0.122,B
PINKY,-0.602,0.682,-0.405,Towards you,0.365,0.795,-0.201,-0.441,B
RING,-0.755,0.561,-0.353,Right,-0.583,-0.56,-0.587,0.043,B
MIDDLE,-0.857,0.521,-0.086,Left,0.226,-0.475,0.567,0.634,B
THUMB,-0.798,-0.042,0.612,Left,0.678,-0.317,0.316,0.583,B
INDEX,-0.727,0.496,0.131,Left,0.293,-0.359,0.5,0.731,B
PALM,-0.221,-0.718,-0.715,Down,-0.319,0.742,-0.58,0.103,B
PINKY,-0.581,0.648,-0.45,Towards you,0.364,0.805,-0.183,-0.431,B
RING,-0.79,0.514,-0.346,Right,-0.576,-0.555,-0.6,0.033,B
MIDDLE,-0.907,0.465,-0.032,Left,0.208,-0.487,0.567,0.63,B
THUMB,-0.846,-0.086,0.588,Left,0.669,-0.313,0.317,0.595,B
INDEX,-0.749,0.5,0.194,Left,0.283,-0.36,0.506,0.731,B
PALM,-0.226,-0.726,-0.65,Down,-0.325,0.735,-0.585,0.111,B
PINKY,-0.537,0.703,-0.447,Towards you,0.358,0.81,-0.193,-0.423,B
RING,-0.707,0.582,-0.404,Right,-0.565,-0.571,-0.594,0.036,B
MIDDLE,-0.839,0.492,-0.137,Left,0.211,-0.479,0.584,0.62,B
THUMB,-0.774,-0.027,0.578,Left,0.672,-0.296,0.331,0.593,B
INDEX,-0.739,0.504,0.158,Left,0.283,-0.361,0.517,0.722,B
PALM,-0.224,-0.664,-0.668,Down,-0.328,0.73,-0.59,0.101,B
PINKY,-0.63,0.621,-0.449,Towards you,0.363,0.81,-0.151,-0.435,B
RING,-0.76,0.502,-0.345,Right,-0.578,-0.534,-0.615,0.048,B
MIDDLE,-0.86,0.44,-0.108,Left,0.221,-0.511,0.547,0.626,B
THUMB,-0.843,-0.078,0.555,Left,0.658,-0.343,0.325,0.586,B
INDEX,-0.831,0.415,0.148,Left,0.284,-0.401,0.488,0.721,B
PALM,-0.263,-0.603,-0.779,Down,-0.304,0.744,-0.592,0.069,B
PINKY,-0.661,0.603,-0.402,Towards you,0.366,0.813,-0.11,-0.439,B
RING,-0.754,0.473,-0.347,Away from you,-0.581,-0.511,-0.632,0.05,B
MIDDLE,-0.875,0.447,-0.121,Left,0.221,-0.525,0.533,0.626,B
THUMB,-0.855,-0.049,0.563,Left,0.653,-0.351,0.326,0.587,B
INDEX,-0.807,0.439,0.13,Left,0.284,-0.407,0.486,0.72,B
PALM,-0.255,-0.585,-0.768,Down,-0.303,0.741,-0.596,0.069,B
PINKY,-0.619,0.613,-0.449,Towards you,0.369,0.824,-0.1,-0.419,B
RING,-0.736,0.487,-0.385,Away from you,-0.569,-0.517,-0.638,0.046,B
MIDDLE,-0.876,0.451,-0.12,Left,0.217,-0.528,0.532,0.625,B
THUMB,-0.855,-0.082,0.556,Left,0.653,-0.349,0.326,0.588,B
INDEX,-0.811,0.424,0.124,Left,0.28,-0.407,0.486,0.72,B
PALM,-0.263,-0.62,-0.756,Down,-0.305,0.736,-0.6,0.074,B
PINKY,-0.633,0.618,-0.409,Towards you,0.38,0.817,-0.088,-0.424,B
RING,-0.775,0.474,-0.352,Away from you,-0.578,-0.502,-0.642,0.041,B
MIDDLE,-0.87,0.387,-0.097,Left,0.217,-0.536,0.523,0.626,B
THUMB,-0.838,-0.079,0.529,Left,0.651,-0.36,0.325,0.584,B
INDEX,-0.817,0.423,0.107,Left,0.287,-0.423,0.475,0.716,B
PALM,-0.266,-0.599,-0.792,Down,-0.286,0.737,-0.61,0.06,B
PINKY,-0.696,0.57,-0.356,Towards you,0.377,0.815,-0.038,-0.439,B
RING,-0.819,0.374,-0.367,Away from you,-0.57,-0.462,-0.675,0.079,B
MIDDLE,-0.973,0.327,-0.088,Left,0.242,-0.562,0.477,0.63,B
THUMB,-0.779,-0.031,0.505,Left,0.641,-0.412,0.32,0.563,B
INDEX,-0.851,0.318,0.154,Left,0.311,-0.468,0.43,0.707,B
PALM,-0.23,-0.376,-0.976,Down,-0.222,0.752,-0.621,0.018,B
PINKY,-0.741,0.436,-0.306,Towards you,0.386,0.794,0.009,-0.47,B
RING,-0.79,0.233,-0.338,Away from you,-0.61,-0.42,-0.666,0.085,B
MIDDLE,-0.977,0.239,-0.097,Left,0.258,-0.568,0.439,0.646,B
THUMB,-0.933,-0.27,0.475,Left,0.638,-0.444,0.296,0.555,B
INDEX,-0.845,0.177,0.2,Left,0.314,-0.477,0.403,0.715,B
PALM,-0.184,-0.449,-0.863,Down,-0.215,0.755,-0.619,0.037,B
PINKY,-0.687,0.625,-0.317,Towards you,0.4,0.799,0.005,-0.45,B
RING,-0.79,0.471,-0.287,Away from you,-0.604,-0.433,-0.668,0.048,B
MIDDLE,-0.886,0.385,-0.082,Left,0.223,-0.551,0.471,0.652,B
THUMB,-0.864,-0.188,0.558,Left,0.66,-0.388,0.287,0.575,B
INDEX,-0.823,0.348,0.185,Left,0.281,-0.431,0.434,0.74,B
PALM,-0.19,-0.584,-0.825,Down,-0.26,0.745,-0.607,0.098,B
PINKY,-0.619,0.669,-0.339,Right,0.431,0.809,-0.028,-0.399,B
RING,-0.708,0.513,-0.344,Away from you,-0.593,-0.467,-0.656,0.001,B
MIDDLE,-0.849,0.444,-0.112,Left,0.193,-0.533,0.508,0.649,B
THUMB,-0.824,-0.106,0.615,Left,0.666,-0.342,0.299,0.591,B
INDEX,-0.771,0.468,0.155,Left,0.272,-0.407,0.468,0.736,B
PALM,-0.217,-0.653,-0.753,Down,-0.292,0.724,-0.615,0.112,B
PINKY,-0.618,0.646,-0.374,Right,0.431,0.819,-0.022,-0.378,B
RING,-0.722,0.513,-0.365,Away from you,-0.58,-0.469,-0.666,-0.011,B
MIDDLE,-0.87,0.484,-0.113,Left,0.182,-0.542,0.512,0.641,B
THUMB,-0.847,-0.08,0.598,Left,0.659,-0.339,0.306,0.598,B
INDEX,-0.794,0.427,0.165,Left,0.263,-0.412,0.472,0.733,C
PALM,-0.215,-0.628,-0.756,Down,-0.296,0.72,-0.617,0.109,C
PINKY,-0.648,0.664,-0.338,Right,0.433,0.82,-0.012,-0.375,C
RING,-0.721,0.471,-0.353,Away from you,-0.582,-0.469,-0.664,-0.007,C
MIDDLE,-0.844,0.417,-0.103,Left,0.195,-0.532,0.513,0.645,C
THUMB,-0.833,-0.089,0.592,Left,0.677,-0.339,0.307,0.577,C
INDEX,-0.803,0.46,0.139,Left,0.297,-0.402,0.466,0.73,C
PALM,-0.211,-0.636,-0.794,Down,-0.27,0.701,-0.649,0.119,C
PINKY,-0.637,0.651,-0.334,Right,0.429,0.811,-0.017,-0.398,C
RING,-0.742,0.457,-0.329,Away from you,-0.591,-0.469,-0.657,0.013,C
MIDDLE,-0.79,0.43,-0.097,Left,0.212,-0.531,0.508,0.645,C
THUMB,-0.814,-0.059,0.562,Left,0.677,-0.344,0.314,0.57,C
INDEX,-0.865,0.462,0.165,Left,0.294,-0.411,0.47,0.724,C
PALM,-0.271,-0.614,-0.847,Down,-0.281,0.697,-0.651,0.105,C
PINKY,-0.65,0.601,-0.383,Right,0.431,0.82,0.013,-0.377,C
RING,-0.783,0.507,-0.346,Away from you,-0.577,-0.454,-0.679,0.0,C
MIDDLE,-0.856,0.446,-0.137,Left,0.197,-0.552,0.502,0.636,C
THUMB,-0.839,-0.055,0.573,Left,0.661,-0.349,0.321,0.582,C
INDEX,-0.773,0.444,0.108,Left,0.281,-0.42,0.471,0.723,C
PALM,-0.279,-0.624,-0.796,Down,-0.29,0.695,-0.65,0.103,C
PINKY,-0.637,0.602,-0.391,Right,0.436,0.822,0.029,-0.366,C
RING,-0.718,0.476,-0.391,Away from you,-0.575,-0.449,-0.684,-0.007,C
MIDDLE,-0.824,0.46,-0.131,Left,0.191,-0.554,0.504,0.635,C
THUMB,-0.828,-0.018,0.572,Left,0.661,-0.343,0.324,0.583,C
INDEX,-0.826,0.454,0.123,Left,0.278,-0.421,0.477,0.72,C
PALM,-0.25,-0.6,-0.758,Down,-0.294,0.689,-0.655,0.101,C
PINKY,-0.654,0.632,-0.382,Right,0.435,0.823,0.047,-0.362,C
RING,-0.719,0.462,-0.425,Away from you,-0.571,-0.439,-0.694,-0.007,C
MIDDLE,-0.903,0.4,-0.115,Left,0.189,-0.569,0.494,0.63,C
THUMB,-0.86,-0.121,0.537,Left,0.65,-0.355,0.329,0.586,C
INDEX,-0.834,0.421,0.087,Left,0.273,-0.436,0.471,0.716,C
